;*01;A00;E02;E04;E09;F05;F08;I07;N01;N03;_01
*01;0;0;0;0;0;0;0;0;0;0;0
A00;0;0;0.9893333333333333;0;0;0.005333333333333333;0;0.0026666666666666666;0.0026666666666666666;0;0
E02;0;0;0;0;0;0.22311827956989247;0;0.3870967741935484;0;0.3897849462365591;0
E04;0;0;0;0;0;0.3055555555555556;0;0.6944444444444444;0;0;0
E09;1.0;0;0;0;0;0;0;0;0;0;0
F05;0;0;0;0;0;0;0;1.0;0;0;0
F08;0.00554016620498615;0;0;0;0.9944598337950139;0;0;0;0;0;0
I07;0;0;0;0;0.037333333333333336;0;0.9626666666666667;0;0;0;0
N01;0;0;1.0;0;0;0;0;0;0;0;0
N03;0;0;0;0.993103448275862;0;0.006896551724137931;0;0;0;0;0
_01;0;1.0;0;0;0;0;0;0;0;0;0
