;*01;A00;E01;E03;E08;E13;F04;F07;F09;F12;I06;I11;N02;_01
*01;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A00;0;0;0.7254901960784313;0;0;0;0.23529411764705882;0;0;0;0.0392156862745098;0;0;0
E01;0;0;0;0;0;0;0.3783783783783784;0;0;0;0.40540540540540543;0;0.21621621621621623;0
E03;0;0;0;0;0;0;0.125;0;0;0;0.875;0;0;0
E08;0;0;0;0;0;0;0;0;0.2549019607843137;0;0;0.7450980392156863;0;0
E13;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0
F04;0;0;0;0;0;0;0;0;0;0;1.0;0;0;0
F07;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0
F09;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0
F12;0.020833333333333332;0;0;0;0;0.9791666666666666;0;0;0;0;0;0;0;0
I06;0;0;0;0;0.0196078431372549;0;0;0.9803921568627451;0;0;0;0;0;0
I11;0;0;0;0;0;0.058823529411764705;0;0;0;0.9411764705882353;0;0;0;0
N02;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0
_01;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0
