;*01;A00;D01;D09;E02;E08;E10;F04;F07;I06;N03;N05;_01
*01;0;0;0;0;0;0;0;0;0;0;0;0;0
A00;0.0022026431718061676;0;0.011013215859030838;0;0.028634361233480177;0;0;0.8656387665198237;0;0.07709251101321586;0.015418502202643172;0;0
D01;0;0;0;0;0.4;0;0;0.6;0;0;0;0;0
D09;0.7959183673469388;0;0;0;0;0;0.20408163265306123;0;0;0;0;0;0
E02;0;0;0;0.06666666666666667;0;0;0;0.8;0;0.13333333333333333;0;0;0
E08;0.9245283018867925;0;0;0.07547169811320754;0;0;0;0;0;0;0;0;0
E10;1.0;0;0;0;0;0;0;0;0;0;0;0;0
F04;0.18072289156626506;0;0;0.163855421686747;0;0.5927710843373494;0;0;0;0.03614457831325301;0;0.02650602409638554;0
F07;0.8947368421052632;0;0;0;0;0.10526315789473684;0;0;0;0;0;0;0
I06;0.17307692307692307;0;0;0.15384615384615385;0;0.3269230769230769;0;0;0.34615384615384615;0;0;0;0
N03;0;0;0;0;0;0;0;1.0;0;0;0;0;0
N05;0.8181818181818182;0;0;0.09090909090909091;0;0;0;0;0.09090909090909091;0;0;0;0
_01;0;1.0;0;0;0;0;0;0;0;0;0;0;0
