;*01;A00;D15;E02;E04;E09;E14;F01;F05;F08;F10;F13;I07;I12;N03;N06;N11;_01
*01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A00;0;0;0.0051813471502590676;0.025906735751295335;0;0;0;0.8704663212435233;0;0;0;0;0.02072538860103627;0;0.07772020725388601;0;0;0
D15;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
E02;0;0;0.15384615384615385;0;0;0;0;0;0.38461538461538464;0;0;0;0.15384615384615385;0;0.3076923076923077;0;0;0
E04;0;0;0;0;0;0;0;0;0.75;0;0;0;0.25;0;0;0;0;0
E09;0.0136986301369863;0;0.2808219178082192;0;0;0;0;0;0;0;0.1095890410958904;0;0;0.5821917808219178;0;0;0.0136986301369863;0
E14;0.9565217391304348;0;0.043478260869565216;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F01;0;0;0.005952380952380952;0.047619047619047616;0;0;0;0;0;0;0;0;0.08333333333333333;0;0.8630952380952381;0;0;0
F05;0;0;0.14705882352941177;0;0;0.6176470588235294;0;0;0;0;0;0;0.14705882352941177;0;0;0.08823529411764706;0;0
F08;0;0;0.028169014084507043;0;0;0.8028169014084507;0;0;0;0;0;0;0;0.09154929577464789;0;0;0.07746478873239436;0
F10;0.0625;0;0.5;0;0;0;0;0;0;0;0;0;0;0.4375;0;0;0;0
F13;0.08870967741935484;0;0.016129032258064516;0;0;0;0.8951612903225806;0;0;0;0;0;0;0;0;0;0;0
I07;0;0;0;0;0;0.06790123456790123;0;0;0;0.8703703703703703;0;0;0;0;0;0;0.06172839506172839;0
I12;0;0;0;0;0;0;0.02564102564102564;0;0;0;0;0.9743589743589743;0;0;0;0;0;0
N03;0;0;0;0;0.024390243902439025;0;0;0;0.15853658536585366;0;0;0;0.8170731707317073;0;0;0;0;0
N06;0;0;0;0;0;0;0;0;0;0.3333333333333333;0;0;0.6666666666666666;0;0;0;0;0
N11;0;0;0;0;0;0;0.043478260869565216;0;0;0;0;0.43478260869565216;0;0.5217391304347826;0;0;0;0
_01;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
