;*01;A00;D15;E02;E09;E14;F01;F05;F08;F10;F13;I07;I12;N03;N06;N11;_01
*01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A00;0;0;0.01818181818181818;0.01818181818181818;0;0;0.9090909090909091;0;0;0;0;0;0;0.05454545454545454;0;0;0
D15;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
E02;0;0;0.5;0;0;0;0;0.25;0;0;0;0;0;0.25;0;0;0
E09;0;0;0.7916666666666666;0;0;0;0;0;0;0.16666666666666666;0;0;0;0;0;0.041666666666666664;0
E14;0.25;0;0.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F01;0;0;0;0.06;0;0;0;0;0;0;0;0.14;0;0.8;0;0;0
F05;0;0;0.18181818181818182;0;0.45454545454545453;0;0;0;0;0;0;0.2727272727272727;0;0;0.09090909090909091;0;0
F08;0;0;0;0;0.9555555555555556;0;0;0;0;0;0;0;0;0;0;0.044444444444444446;0
F10;0;0;0.5;0;0;0;0;0;0;0;0;0;0.375;0;0;0.125;0
F13;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0
I07;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0
I12;0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0
N03;0;0;0;0;0;0;0;0.22727272727272727;0;0;0;0.7727272727272727;0;0;0;0;0
N06;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0
N11;0;0;0;0;0;0;0;0;0;0;0.6;0;0.4;0;0;0;0
_01;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
