;*01;A00;D07;E01;E06;E08;F03;F05;I04;N02;_01
*01;0;0;0;0;0;0;0;0;0;0;0
A00;0;0;0;0.006920415224913495;0;0;0.35986159169550175;0;0.5882352941176471;0.04498269896193772;0
D07;0.45;0;0;0;0;0.55;0;0;0;0;0
E01;0;0;0;0;0;0;0;0;1.0;0;0
E06;0.9913793103448276;0;0.008620689655172414;0;0;0;0;0;0;0;0
E08;1.0;0;0;0;0;0;0;0;0;0;0
F03;0;0;0;0;0.10344827586206896;0;0;0;0.896551724137931;0;0
F05;0.17333333333333334;0;0.06222222222222222;0;0.7644444444444445;0;0;0;0;0;0
I04;0;0;0.01444043321299639;0;0.17328519855595667;0;0;0.8122743682310469;0;0;0
N02;0;0;0;0;0;0;0.9230769230769231;0;0.07692307692307693;0;0
_01;0;1.0;0;0;0;0;0;0;0;0;0
