;*01;A00;D01;D12;E04;E06;E11;E13;F02;F07;F10;I09;N03;N05;N08;_01
*01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A00;0;0;0.006993006993006993;0;0.01048951048951049;0;0;0;0.9370629370629371;0;0;0;0.045454545454545456;0;0;0
D01;0;0;0;0;0;0;0;0;0.5;0;0;0;0.5;0;0;0
D12;0.5376344086021505;0;0;0;0;0;0;0.46236559139784944;0;0;0;0;0;0;0;0
E04;0.21739130434782608;0;0;0.34782608695652173;0;0;0;0;0;0.15942028985507245;0;0.14492753623188406;0;0.13043478260869565;0;0
E06;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
E11;0.7804878048780488;0;0;0.21951219512195122;0;0;0;0;0;0;0;0;0;0;0;0
E13;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F02;0;0;0;0;0.17843866171003717;0;0;0;0;0;0;0.01486988847583643;0.8066914498141264;0;0;0
F07;0.4126984126984127;0;0;0.373015873015873;0;0;0.15873015873015872;0;0;0;0;0.03968253968253968;0;0;0.015873015873015872;0
F10;0.8867924528301887;0;0;0.05660377358490566;0;0;0.05660377358490566;0;0;0;0;0;0;0;0;0
I09;0.06722689075630252;0;0;0.008403361344537815;0;0;0.4957983193277311;0;0;0;0.42857142857142855;0;0;0;0;0
N03;0;0;0;0;0.07792207792207792;0;0;0;0;0.49783549783549785;0;0.42424242424242425;0;0;0;0
N05;0;0;0;0;0;0.7777777777777778;0;0;0;0;0;0.2222222222222222;0;0;0;0
N08;0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0
_01;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
