;*01;A00;D07;E06;E08;F01;F03;F05;I04;N02;_01
*01;0;0;0;0;0;0;0;0;0;0;0
A00;0;0;0;0;0;1.0;0;0;0;0;0
D07;0.020202020202020204;0;0;0;0.9797979797979798;0;0;0;0;0;0
E06;0.024630541871921183;0;0.9753694581280788;0;0;0;0;0;0;0;0
E08;1.0;0;0;0;0;0;0;0;0;0;0
F01;0;0;0;0;0;0;0;0;0;1.0;0
F03;0;0;0;0.9655172413793104;0;0;0;0;0.034482758620689655;0;0
F05;0;0;0;1.0;0;0;0;0;0;0;0
I04;0;0;0;0.09142857142857143;0;0;0;0.9085714285714286;0;0;0
N02;0;0;0;0;0;0;0.14285714285714285;0;0.8571428571428571;0;0
_01;0;1.0;0;0;0;0;0;0;0;0;0
