,MIN,Q3,Q1,MAX,Q2,N_SURG,PART,SCALE,AVG
0,5,24.1,16.4,26,17.5,1,0.03680981595092025,0.25,17.833333333333332
1,1,41.6,8.0,98,19.0,1,0.08641975308641975,0.25,30.38095238095238
2,1,27.6,5.4,55,12.0,1,0.07203389830508475,0.25,17.529411764705884
3,2,29.4,11.1,35,20.0,1,0.026455026455026454,0.25,19.8
4,2,29.100000000000005,10.4,56,21.0,1,0.07203389830508475,0.25,21.58823529411765
5,11,37.5,18.700000000000003,45,28.0,1,0.03864734299516908,0.25,28.0
6,2,44.85000000000001,9.8,135,21.0,1,0.0975609756097561,0.25,29.916666666666668
7,1,25.000000000000004,4.4,33,9.0,1,0.04954954954954955,0.25,13.545454545454545
8,6,37.900000000000006,12.0,61,27.0,1,0.06103286384976526,0.25,27.307692307692307
9,2,30.050000000000008,9.25,40,19.5,1,0.05970149253731343,0.25,19.75
10,1,27.800000000000004,6.2,38,14.0,2,0.07142857142857142,0.25,16.05263157894737
11,3,50.85000000000001,23.6,75,38.0,2,0.11764705882352941,0.25,38.81818181818182
12,2,29.7,10.0,71,15.0,2,0.05263157894736842,0.25,22.333333333333332
13,3,30.099999999999998,8.8,46,19.0,2,0.0379746835443038,0.25,20.77777777777778
14,1,20.400000000000006,5.800000000000001,36,13.5,2,0.056451612903225805,0.25,14.785714285714286
15,3,35.2,9.0,58,23.0,2,0.11538461538461539,0.25,24.733333333333334
16,1,29.400000000000006,2.0,70,11.5,2,0.04854368932038835,0.25,18.7
17,3,48.9,7.7,85,28.0,2,0.04945054945054945,0.25,32.77777777777778
18,3,109.80000000000001,16.8,219,37.0,2,0.07456140350877193,0.25,65.70588235294117
19,1,25.400000000000002,6.2,45,13.0,2,0.05238095238095238,0.25,16.818181818181817
20,1,51.099999999999994,18.6,55,41.0,3,0.050761421319796954,0.25,33.7
21,1,64.4,10.0,134,20.0,3,0.10505836575875487,0.25,35.2962962962963
22,4,60.6,19.7,91,29.0,3,0.12446351931330472,0.25,38.13793103448276
23,1,22.0,6.800000000000001,54,20.0,3,0.06493506493506493,0.25,19.0
24,1,52.05,21.950000000000003,86,40.5,3,0.12552301255230125,0.25,37.86666666666667
25,5,46.800000000000004,14.000000000000002,99,24.0,3,0.045081967213114756,0.25,37.36363636363637
26,2,74.95000000000002,16.65,167,35.0,3,0.08333333333333333,0.25,52.44444444444444
27,1,55.300000000000026,10.350000000000001,94,23.5,3,0.07339449541284404,0.25,34.5625
28,1,25.3,8.4,101,14.0,3,0.08076923076923077,0.25,23.904761904761905
29,1,31.15000000000001,7.9,175,15.5,3,0.07782101167315175,0.25,29.8
30,1,36.400000000000006,3.0,82,15.5,1,0.12682926829268293,0.5,22.076923076923077
31,1,46.800000000000004,8.4,68,14.0,1,0.1,0.5,27.08695652173913
32,1,41.89999999999999,12.7,186,25.0,1,0.21810699588477367,0.5,35.81132075471698
33,4,58.90000000000002,8.7,106,29.0,1,0.08056872037914692,0.5,37.588235294117645
34,1,44.300000000000004,14.0,121,22.5,1,0.15384615384615385,0.5,33.375
35,10,39.6,16.2,114,29.0,1,0.1210762331838565,0.5,31.037037037037038
36,1,52.0,17.0,128,27.0,1,0.15702479338842976,0.5,35.78947368421053
37,1,52.19999999999999,11.399999999999999,143,24.0,1,0.16129032258064516,0.5,35.6
38,1,32.2,17.849999999999998,67,24.5,1,0.09166666666666666,0.5,27.181818181818183
39,1,115.20000000000002,16.2,323,49.0,1,0.13777777777777778,0.5,84.70967741935483
40,2,52.2,11.100000000000001,62,26.0,2,0.10714285714285714,0.5,30.285714285714285
41,3,43.45,12.95,78,31.0,2,0.11981566820276497,0.5,32.03846153846154
42,1,59.099999999999994,8.0,164,24.0,2,0.10526315789473684,0.5,36.5
43,1,51.2,7.949999999999999,99,22.5,2,0.13058419243986255,0.5,30.342105263157894
44,1,47.9,14.0,138,24.0,2,0.1228813559322034,0.5,36.0
45,1,33.05,13.95,84,26.0,2,0.11063829787234042,0.5,27.53846153846154
46,1,64.85000000000002,9.899999999999999,127,25.0,2,0.144,0.5,40.27777777777778
47,4,62.400000000000006,11.0,133,27.0,2,0.1111111111111111,0.5,40.625
48,3,36.35000000000001,16.95,95,25.0,2,0.11627906976744186,0.5,31.366666666666667
49,1,54.55,11.350000000000001,148,24.0,2,0.1218274111675127,0.5,38.25
50,1,51.80000000000001,15.0,122,24.0,3,0.1659919028340081,0.5,38.951219512195124
51,6,49.300000000000026,19.4,176,32.0,3,0.10552763819095477,0.5,50.04761904761905
52,2,79.2,18.5,136,41.0,3,0.10294117647058823,0.5,51.285714285714285
53,1,41.800000000000026,8.8,217,18.0,3,0.07352941176470588,0.5,39.0
54,2,44.2,7.2,144,27.0,3,0.08962264150943396,0.5,34.0
55,1,74.29999999999998,9.899999999999999,306,34.0,3,0.16883116883116883,0.5,60.78846153846154
56,1,37.19999999999999,8.0,139,22.0,3,0.15613382899628253,0.5,28.738095238095237
57,1,30.750000000000004,9.0,75,15.0,3,0.10434782608695652,0.5,23.416666666666668
58,1,40.0,8.7,143,14.0,3,0.10204081632653061,0.5,29.56
59,1,65.25,11.9,105,22.5,3,0.07894736842105263,0.5,36.05555555555556
60,1,50.39999999999998,8.0,122,26.0,1,0.20192307692307693,1.0,34.404761904761905
61,1,63.09999999999998,16.4,199,34.0,1,0.23076923076923078,1.0,47.48888888888889
62,1,76.89999999999999,19.4,129,45.0,1,0.2653846153846154,1.0,50.492753623188406
63,4,193.1,23.45,737,53.5,1,0.2647058823529412,1.0,130.19444444444446
64,3,110.59999999999997,18.0,311,47.0,1,0.22916666666666666,1.0,77.2909090909091
65,2,62.05,23.849999999999998,179,40.5,1,0.28205128205128205,1.0,47.57575757575758
66,1,42.2,14.399999999999999,123,25.0,1,0.16666666666666666,1.0,33.645161290322584
67,2,61.099999999999994,14.0,144,29.5,1,0.2125984251968504,1.0,39.7962962962963
68,2,74.1,13.45,294,37.5,1,0.2857142857142857,1.0,62.720588235294116
69,1,54.3,12.0,102,33.0,1,0.19313304721030042,1.0,35.888888888888886
70,1,46.599999999999994,12.0,108,28.0,2,0.19421487603305784,1.0,36.851063829787236
71,1,54.29999999999998,14.45,292,37.0,2,0.21978021978021978,1.0,46.733333333333334
72,1,46.400000000000006,7.0,162,25.0,2,0.14917127071823205,1.0,36.74074074074074
73,2,106.79999999999998,14.799999999999997,506,34.0,2,0.22007722007722008,1.0,95.14035087719299
74,1,87.1,19.9,210,52.0,2,0.2151394422310757,1.0,57.81481481481482
75,1,86.0,23.95,219,44.5,2,0.2551440329218107,1.0,62.516129032258064
76,2,104.79999999999995,22.799999999999997,258,42.0,2,0.22131147540983606,1.0,75.03703703703704
77,1,77.59999999999997,20.7,246,38.0,2,0.20141342756183744,1.0,63.56140350877193
78,3,115.74999999999999,23.9,370,41.5,2,0.22325581395348837,1.0,72.70833333333333
79,1,56.650000000000006,22.35,81,33.0,2,0.1111111111111111,1.0,38.666666666666664
80,1,74.79999999999998,28.2,205,51.0,3,0.1853448275862069,1.0,62.95348837209303
81,1,136.5999999999999,15.7,306,46.0,3,0.27310924369747897,1.0,88.61538461538461
82,2,116.84999999999998,22.45,178,43.0,3,0.2018348623853211,1.0,65.0909090909091
83,2,71.1,15.45,182,39.0,3,0.2510460251046025,1.0,48.13333333333333
84,1,45.8,13.2,82,22.0,3,0.1813953488372093,1.0,30.076923076923077
85,1,43.099999999999994,12.45,135,27.5,3,0.17254901960784313,1.0,31.65909090909091
86,1,83.44999999999997,15.0,180,38.0,3,0.24313725490196078,1.0,51.96774193548387
87,1,80.1,17.0,481,32.5,3,0.28762541806020064,1.0,74.15116279069767
88,1,51.55,10.699999999999996,134,28.5,3,0.20634920634920634,1.0,37.05769230769231
89,3,73.6,17.0,373,34.0,3,0.23109243697478993,1.0,61.43636363636364
