,SCALE,N_SURG,Q3,PART,MAX_QUEUE_LENGTH,AVG,Q1,MIN,MAX,Q2
0,0.5,1,298.8,0.5686274509803921,11.0,230.15172413793104,40.7,1.0,1344.0,127.0
1,0.5,1,174.8,0.5366795366795367,7.0,119.96402877697842,27.4,1.0,1195.0,80.0
2,0.5,1,128.3,0.4488888888888889,13.0,183.36633663366337,25.7,1.0,1425.0,61.0
3,0.5,1,266.2,0.4977578475336323,10.0,235.3063063063063,49.2,1.0,1313.0,121.0
4,0.5,1,168.0,0.5968379446640316,8.0,138.2980132450331,47.2,4.0,857.0,91.0
5,0.5,1,158.4,0.4858490566037736,12.0,177.80582524271844,32.0,1.0,1099.0,66.0
6,0.5,1,173.9,0.5546875,9.0,166.19014084507043,31.95,1.0,1231.0,92.0
7,0.5,1,150.6,0.5236051502145923,9.0,158.672131147541,34.0,1.0,1093.0,80.5
8,0.5,1,248.8,0.5443548387096774,10.0,205.48888888888888,37.0,3.0,1468.0,94.0
9,0.5,1,130.2,0.5619834710743802,6.0,96.2720588235294,26.9,2.0,408.0,69.5
10,0.5,2,47.95,0.0995850622406639,1.0,30.291666666666668,9.9,1.0,68.0,31.5
11,0.5,2,56.45,0.13821138211382114,3.0,47.6764705882353,10.9,1.0,196.0,31.5
12,0.5,2,45.6,0.14347826086956522,2.0,33.57575757575758,14.5,1.0,100.0,27.0
13,0.5,2,41.6,0.11740890688259109,1.0,26.103448275862068,10.5,1.0,98.0,21.0
14,0.5,2,29.6,0.08287292817679558,1.0,27.2,5.4,1.0,79.0,23.0
15,0.5,2,42.0,0.12704918032786885,2.0,30.451612903225808,15.2,1.0,129.0,21.0
16,0.5,2,36.0,0.11203319502074689,2.0,28.444444444444443,6.6,1.0,116.0,20.0
17,0.5,2,25.4,0.07169811320754717,1.0,18.842105263157894,4.2,1.0,68.0,15.0
18,0.5,2,37.7,0.0958904109589041,1.0,26.0,5.0,1.0,101.0,16.0
19,0.5,2,70.3,0.17535545023696683,3.0,46.62162162162162,13.1,1.0,182.0,33.0
20,0.5,3,8.3,0.03643724696356275,1.0,6.222222222222222,4.1,2.0,12.0,6.0
21,0.5,3,10.4,0.01507537688442211,0.0,8.333333333333334,6.4,6.0,11.0,8.0
22,0.5,3,16.8,0.02575107296137339,0.0,13.166666666666666,4.8,1.0,32.0,12.5
23,0.5,3,24.2,0.02617801047120419,1.0,14.2,3.1,1.0,41.0,8.0
24,0.5,3,--,0.0,,,--,,,--
25,0.5,3,--,0.0,,,--,,,--
26,0.5,3,30.0,0.009478672985781991,0.0,20.5,11.0,11.0,30.0,20.5
27,0.5,3,33.8,0.03773584905660377,1.0,20.875,6.6,2.0,42.0,21.5
28,0.5,3,35.6,0.02564102564102564,2.0,24.0,10.5,7.0,65.0,13.0
29,0.5,3,32.8,0.04417670682730924,1.0,19.818181818181817,2.6,1.0,66.0,8.0
30,1.0,1,270.25,0.5700934579439252,14.0,212.02459016393442,34.95,2.0,1677.0,107.0
31,1.0,1,277.8,0.6317991631799164,13.0,219.2251655629139,42.8,1.0,1311.0,115.0
32,1.0,1,499.65,0.694980694980695,24.0,397.8888888888889,85.45,1.0,1724.0,276.5
33,1.0,1,1547.8,0.75,29.0,932.4545454545455,150.0,3.0,2868.0,771.0
34,1.0,1,462.3,0.7178423236514523,22.0,370.3815028901734,47.4,1.0,1676.0,205.0
35,1.0,1,298.2,0.576036866359447,14.0,219.544,46.7,6.0,1313.0,120.0
36,1.0,1,432.1,0.7453703703703703,17.0,398.3726708074534,126.4,3.0,2400.0,261.0
37,1.0,1,421.7,0.7246376811594203,15.0,318.46,59.25,3.0,1580.0,182.5
38,1.0,1,542.2,0.71875,19.0,388.30434782608694,77.8,1.0,1754.0,196.5
39,1.0,1,236.8,0.6869918699186992,10.0,202.22485207100593,48.7,4.0,1837.0,120.0
40,1.0,2,63.2,0.19576719576719576,4.0,48.78378378378378,19.0,2.0,168.0,44.0
41,1.0,2,49.8,0.20987654320987653,3.0,32.3921568627451,7.6,1.0,116.0,17.0
42,1.0,2,126.4,0.2796610169491525,7.0,78.15151515151516,23.0,1.0,217.0,68.5
43,1.0,2,289.8,0.23651452282157676,12.0,200.05263157894737,23.4,2.0,815.0,57.0
44,1.0,2,67.25,0.2066115702479339,3.0,47.44,17.0,2.0,202.0,32.0
45,1.0,2,139.25,0.2643171806167401,8.0,121.6,28.15,2.0,534.0,58.5
46,1.0,2,44.0,0.15481171548117154,4.0,34.75675675675676,11.7,3.0,149.0,27.0
47,1.0,2,68.55,0.2786885245901639,5.0,52.69117647058823,16.0,1.0,285.0,29.0
48,1.0,2,83.6,0.22419928825622776,5.0,55.65079365079365,23.0,1.0,294.0,34.0
49,1.0,2,58.0,0.22018348623853212,4.0,43.6875,21.0,5.0,135.0,38.5
50,1.0,3,88.4,0.07317073170731707,5.0,57.93333333333333,22.2,1.0,157.0,58.0
51,1.0,3,14.1,0.046296296296296294,1.0,12.3,4.95,4.0,39.0,10.5
52,1.0,3,75.0,0.07167235494880546,5.0,38.666666666666664,7.7,2.0,115.0,21.0
53,1.0,3,34.2,0.045081967213114756,1.0,18.09090909090909,3.6,1.0,55.0,9.0
54,1.0,3,24.6,0.06726457399103139,1.0,19.066666666666666,8.4,3.0,50.0,18.0
55,1.0,3,26.6,0.09268292682926829,1.0,17.210526315789473,3.4,1.0,61.0,10.0
56,1.0,3,24.3,0.06854838709677419,1.0,19.41176470588235,7.0,4.0,83.0,17.0
57,1.0,3,16.1,0.036036036036036036,0.0,10.25,4.9,1.0,21.0,9.0
58,1.0,3,18.05,0.03676470588235294,1.0,15.7,4.95,2.0,58.0,13.5
59,1.0,3,24.3,0.0611353711790393,2.0,25.0,7.9,3.0,104.0,12.5
60,1.5,1,1706.2,0.8454545454545455,34.0,1037.220430107527,462.95,1.0,2368.0,911.0
61,1.5,1,867.2,0.7939698492462312,29.0,623.4050632911392,170.95,4.0,2373.0,345.5
62,1.5,1,425.6,0.7782258064516129,31.0,351.7253886010363,82.4,1.0,1818.0,196.0
63,1.5,1,484.6,0.76,20.0,409.67836257309943,117.6,1.0,2096.0,271.0
64,1.5,1,1660.8,0.8842592592592593,44.0,1038.7958115183246,296.2,5.0,3592.0,758.0
65,1.5,1,821.8,0.835,34.0,604.6167664670659,191.2,1.0,2028.0,435.0
66,1.5,1,320.6,0.7248062015503876,14.0,229.2139037433155,106.2,3.0,785.0,232.0
67,1.5,1,1038.7,0.8114035087719298,32.0,679.7783783783784,155.1,3.0,2409.0,384.0
68,1.5,1,985.0,0.8906882591093117,31.0,642.4909090909091,131.45,5.0,2486.0,401.5
69,1.5,1,406.5,0.8208333333333333,14.0,294.1522842639594,98.1,2.0,1248.0,233.0
70,1.5,2,115.15,0.34309623430962344,11.0,93.6219512195122,25.8,1.0,407.0,53.5
71,1.5,2,104.2,0.3187250996015936,10.0,88.9875,20.0,3.0,463.0,45.5
