,MAX,PART,Q2,Q3,N_SURG,MAX_QUEUE_LENGTH,MIN,SCALE,AVG,Q1
0,31727,0.999117387466902,17350.0,24301.0,1,844,54,0.0,16232.32906360424,7057.600000000004
1,37423,0.9976503759398496,17037.0,28534.799999999996,1,860,5,0.0,17604.875176636833,8099.0
2,29049,0.9968167348794906,12047.5,20183.199999999997,1,747,5,0.0,13786.26140510949,7325.450000000001
3,29734,0.9986046511627907,16398.0,23487.199999999997,1,783,40,0.0,15780.334420121098,7501.8
4,37494,0.9973226238286479,18783.0,28312.0,1,993,8,0.0,18971.312304250558,10396.2
5,37812,0.99907019990702,22050.0,28673.5,1,976,41,0.0,19971.879478827363,10542.8
6,35860,0.9967712177121771,20707.0,29228.8,1,941,4,0.0,19538.625173530774,9562.2
7,38702,0.9980741454020221,20840.0,31583.5,1,959,3,0.0,21371.208393632416,12591.7
8,34263,0.9977334542157752,18539.0,27424.6,1,913,9,0.0,18543.0172648796,10185.8
9,39302,0.9969325153374233,22391.0,30954.6,1,1065,15,0.0,21004.63076923077,11116.6
10,36225,0.9963882618510158,19694.0,24866.199999999997,1,904,6,0.0,17744.69007702764,8407.000000000002
11,31928,0.997384481255449,18760.0,24329.4,1,850,12,0.0,17507.378059440558,11852.95
12,38140,0.9973178363880196,21585.0,30297.2,1,1023,2,0.0,20437.245629762438,9211.400000000001
13,37445,0.9971550497866287,18346.0,26897.8,1,898,5,0.0,18007.152163575844,9309.0
14,41345,0.9995493465525012,19996.0,29327.899999999998,1,1053,18,0.0,19840.561316501353,9661.800000000001
15,31402,0.9967682363804248,15745.0,23218.0,1,795,11,0.0,15148.838351088467,7364.4
16,40652,0.998114985862394,21523.5,29777.75,1,1019,30,0.0,20394.671388101982,9455.95
17,31455,0.9963285910968334,14830.0,22448.4,1,821,9,0.0,15349.055734684478,7494.2
18,33305,0.9977954144620811,17312.0,25772.199999999997,1,876,6,0.0,16940.446752098982,9168.8
19,40869,0.995764705882353,21847.0,29863.4,1,1001,27,0.0,20967.44092627599,11545.45
20,35958,0.9973368841544608,16317.0,26016.800000000003,1,944,15,0.0,16526.120605251446,7450.6
