,BG_SCALE,Q3,MIN,MAX,N_SURG,Q1,PART,Q2,TARGET_SCALE,MAX_QUEUE_LENGTH,AVG
0,0.5,1087.9,50.0,2651.0,1,59.1,0.20833333333333334,232.0,0.5,4.0,682.8
1,0.5,53.0,6.0,118.0,1,16.2,0.20454545454545456,21.0,0.5,2.0,38.666666666666664
2,0.5,732.2,27.0,829.0,1,90.6,0.1,345.0,0.5,6.0,400.3333333333333
3,0.5,157.7,25.0,234.0,1,45.3,0.14705882352941177,56.0,0.5,2.0,98.8
4,0.5,103.0,95.0,103.0,1,95.0,0.05555555555555555,99.0,0.5,1.0,99.0
5,0.5,628.2,20.0,1023.0,1,22.1,0.11904761904761904,38.0,0.5,5.0,312.6
6,0.5,44.2,15.0,50.0,1,16.2,0.1,21.0,0.5,1.0,28.666666666666668
7,0.5,1641.2,7.0,1812.0,1,22.4,0.21739130434782608,881.0,0.5,3.0,859.4
8,0.5,536.9,5.0,1215.0,1,37.3,0.25,100.0,0.5,3.0,313.8888888888889
9,0.5,253.2,8.0,945.0,1,20.0,0.24444444444444444,36.0,0.5,4.0,194.0
10,0.5,85.3,6.0,115.0,1,13.2,0.15384615384615385,35.5,0.5,1.0,48.0
11,0.5,51.3,2.0,52.0,1,18.1,0.11363636363636363,37.0,0.5,0.0,33.4
12,0.5,1140.75,74.0,1548.0,1,92.0,0.14814814814814814,378.5,0.5,3.0,594.75
13,0.5,121.3,4.0,988.0,1,19.7,0.18,49.0,0.5,2.0,161.33333333333334
14,0.5,49.75,16.0,61.0,1,16.9,0.10256410256410256,27.0,0.5,0.0,32.75
15,0.5,241.6,21.0,286.0,1,29.6,0.10714285714285714,64.0,0.5,3.0,123.66666666666667
16,0.5,105.0,12.0,618.0,1,13.9,0.17647058823529413,62.5,0.5,1.0,141.16666666666666
17,0.5,1355.65,92.0,1447.0,1,201.35,0.11428571428571428,789.5,0.5,5.0,779.5
18,0.5,288.4,197.0,308.0,1,199.6,0.1111111111111111,210.0,0.5,3.0,238.33333333333334
19,0.5,63.4,1.0,1123.0,1,19.4,0.1794871794871795,34.0,0.5,1.0,187.28571428571428
20,0.5,69.0,1.0,69.0,1,17.15,0.16216216216216217,20.5,0.5,1.0,33.0
21,0.5,114,114.0,114.0,1,114,0.022727272727272728,114,0.5,2.0,114.0
22,0.5,74.5,22.0,79.0,1,28.75,0.19047619047619047,53.0,0.5,2.0,51.75
