,TARGET_SCALE,Q2,AVG,N_SURG,Q3,Q1,MIN,BG_SCALE,MAX_QUEUE_LENGTH,MAX,PART
0,0.5,26.5,45.0,1,56.5,3.85,1.0,0.5,1.0,161.0,0.13333333333333333
1,0.5,73.5,73.5,1,132.0,15.0,15.0,0.5,1.0,132.0,0.09090909090909091
2,0.5,148.0,303.6666666666667,1,552.8,116.8,109.0,0.5,1.0,654.0,0.09090909090909091
3,0.5,345.0,490.7,1,1007.05,47.6,30.0,0.5,5.0,1255.0,0.37037037037037035
4,0.5,61,61.0,1,61,61,61.0,0.5,0.0,61.0,0.043478260869565216
5,0.5,49.5,54.5,1,83.7,33.9,13.0,0.5,1.0,97.0,0.18181818181818182
6,0.5,158.0,301.2,1,448.6,45.8,36.0,0.5,2.0,1087.0,0.2
7,0.5,384.0,738.2,1,1344.0,300.5,269.0,0.5,4.0,1407.0,0.1388888888888889
8,0.5,59.0,262.85714285714283,1,77.2,33.4,26.0,0.5,1.0,1538.0,0.18421052631578946
9,0.5,127.0,433.14285714285717,1,890.2,45.0,4.0,0.5,3.0,1393.0,0.19444444444444445
10,0.5,50.0,600.3333333333334,1,1382.8,38.0,35.0,0.5,2.0,1716.0,0.10714285714285714
11,0.5,35.0,116.75,1,244.35,5.5,1.0,0.5,1.0,396.0,0.19047619047619047
12,0.5,56.0,296.57142857142856,1,703.4,25.8,5.0,0.5,2.0,859.0,0.25
13,0.5,105.0,324.57142857142856,1,292.0,22.4,9.0,0.5,3.0,1603.0,0.22580645161290322
14,0.5,39.0,60.714285714285715,1,112.2,30.2,2.0,0.5,2.0,143.0,0.13725490196078433
15,0.5,54.0,153.0,1,197.1,18.8,6.0,0.5,4.0,612.0,0.20930232558139536
16,0.5,214.0,865.0,1,1911.6,78.8,45.0,0.5,4.0,2336.0,0.13043478260869565
17,0.5,56.0,64.0,1,96.8,34.4,29.0,0.5,1.0,107.0,0.1
18,0.5,42.0,46.666666666666664,1,81.2,23.5,4.0,0.5,1.0,90.0,0.25
19,0.5,39,39.0,1,39,39,39.0,0.5,0.0,39.0,0.020833333333333332
20,0.5,67.0,68.6,1,99.0,25.0,11.0,0.5,0.0,162.0,0.15151515151515152
21,0.5,680.0,680.0,1,909.0,451.0,451.0,0.5,4.0,909.0,0.0625
22,0.5,318.5,318.5,1,609.0,28.0,28.0,0.5,1.0,609.0,0.07142857142857142
23,0.5,40.0,89.33333333333333,1,170.4,28.0,25.0,0.5,2.0,203.0,0.13043478260869565
24,0.5,13.0,92.33333333333333,1,207.4,9.0,8.0,0.5,3.0,256.0,0.07894736842105263
25,0.5,57.0,405.6,1,687.0,43.1,34.0,0.5,1.0,1590.0,0.16129032258064516
26,0.5,41.5,110.33333333333333,1,94.3,16.55,8.0,0.5,2.0,480.0,0.13333333333333333
27,0.5,24.0,32.666666666666664,1,62.4,6.4,2.0,0.5,1.0,72.0,0.09375
28,0.5,55.0,451.25,1,958.95,24.5,20.0,0.5,2.0,1663.0,0.2222222222222222
29,0.5,475.0,643.2,1,1168.5,77.8,26.0,0.5,7.0,1655.0,0.1282051282051282
30,0.5,59.0,59.0,1,92.0,26.0,26.0,0.5,0.0,92.0,0.05263157894736842
31,0.5,38.0,40.333333333333336,1,56.65,20.95,20.0,0.5,1.0,69.0,0.13043478260869565
32,0.5,71.0,71.0,1,122.0,20.0,20.0,0.5,0.0,122.0,0.05263157894736842
33,0.5,58.0,171.16666666666666,1,235.15,20.1,3.0,0.5,1.0,675.0,0.12244897959183673
34,0.5,19,19.0,1,19,19,19.0,0.5,0.0,19.0,0.034482758620689655
35,0.5,4.0,4.0,1,4.0,4.0,4.0,0.5,0.0,4.0,0.09523809523809523
36,0.5,104.0,119.28571428571429,1,155.0,60.8,40.0,0.5,2.0,269.0,0.35
37,0.5,26.0,33.375,1,53.8,14.9,9.0,0.5,1.0,70.0,0.17777777777777778
38,0.5,91.0,361.6666666666667,1,783.0,48.6,38.0,0.5,2.0,956.0,0.13043478260869565
39,0.5,29.5,46.25,1,82.55,13.3,7.0,0.5,1.0,119.0,0.1111111111111111
40,0.5,82.0,128.0,1,137.6,48.0,9.0,0.5,3.0,541.0,0.28125
41,0.5,55.5,467.5,1,997.5,19.9,1.0,0.5,2.0,1758.0,0.1
42,0.5,106.0,416.3333333333333,1,912.4,44.4,29.0,0.5,0.0,1114.0,0.10714285714285714
43,0.5,72.0,248.0,1,172.35,43.45,4.0,0.5,2.0,1099.0,0.2564102564102564
44,0.5,114.0,233.76923076923077,1,289.6,42.2,7.0,0.5,3.0,1277.0,0.28888888888888886
45,0.5,19.5,63.5,1,126.45,9.35,8.0,0.5,0.0,207.0,0.17391304347826086
46,0.5,103.0,83.66666666666667,1,103.8,55.8,44.0,0.5,1.0,104.0,0.07317073170731707
47,0.5,42.0,41.285714285714285,1,65.8,20.2,4.0,0.5,1.0,80.0,0.18421052631578946
48,0.5,24.0,24.0,1,38.0,10.0,10.0,0.5,0.0,38.0,0.058823529411764705
49,0.5,144.0,200.0,1,347.2,75.2,58.0,0.5,1.0,398.0,0.0967741935483871
50,0.5,20.0,19.75,1,27.75,11.7,9.0,0.5,0.0,30.0,0.10810810810810811
51,0.5,48.5,60.0,1,74.1,34.45,24.0,0.5,1.0,133.0,0.1875
52,0.5,425.0,557.9090909090909,1,886.0,99.2,6.0,0.5,7.0,1588.0,0.2972972972972973
53,0.5,59.0,106.36363636363636,1,108.6,44.0,1.0,0.5,2.0,379.0,0.3142857142857143
54,0.5,82.5,308.6666666666667,1,385.0,37.25,20.0,0.5,3.0,1366.0,0.375
55,0.5,138.0,264.125,1,217.8,71.75,7.0,0.5,3.0,1245.0,0.26666666666666666
56,0.5,144.0,314.0,1,263.5,48.7,23.0,0.5,5.0,1706.0,0.23684210526315788
57,0.5,17.0,15.25,1,21.85,8.3,2.0,0.5,1.0,25.0,0.17391304347826086
58,0.5,91.5,91.5,1,135.0,48.0,48.0,0.5,1.0,135.0,0.07692307692307693
59,0.5,28.0,105.75,1,218.85,8.2,1.0,0.5,4.0,366.0,0.13333333333333333
60,0.5,22.5,35.5,1,39.1,11.6,4.0,0.5,0.0,117.0,0.16216216216216217
61,0.5,53.0,61.888888888888886,1,98.2,36.0,23.0,0.5,1.0,110.0,0.20930232558139536
62,0.5,34.0,39.714285714285715,1,68.0,17.2,7.0,0.5,2.0,75.0,0.2916666666666667
63,0.5,47.0,238.2,1,234.7,17.95,15.0,0.5,4.0,1212.0,0.3125
64,0.5,340.5,409.5,1,780.1,52.7,14.0,0.5,3.0,943.0,0.125
65,0.5,57.0,280.6666666666667,1,420.0,40.5,22.0,0.5,4.0,1124.0,0.23684210526315788
66,0.5,46.0,570.5,1,942.55,19.6,12.0,0.5,1.0,2435.0,0.25
67,0.5,61.5,62.5,1,98.25,26.95,4.0,0.5,1.0,123.0,0.11764705882352941
68,0.5,21.5,278.25,1,567.95,5.9,2.0,0.5,1.0,1130.0,0.19047619047619047
