,TIME,ID,QUEUE_TIME,STATE,QUEUE_LENGTH,DIRECTION
0,361,0,0,_01,0,IN
1,361,0,0,_01,0,OUT
2,361,0,0,A00,0,IN
3,414,0,0,A00,0,OUT
4,414,0,0,F01,0,IN
5,444,1,0,_01,0,IN
6,444,1,0,_01,0,OUT
7,444,1,0,A00,0,IN
8,474,0,0,F01,0,OUT
9,474,0,0,N02,0,IN
10,514,0,0,N02,0,OUT
11,514,0,0,I04,0,IN
12,514,0,0,I04,0,OUT
13,514,0,0,F05,0,IN
14,526,1,0,A00,0,OUT
15,526,1,0,F02,0,IN
16,546,1,0,F02,0,OUT
17,546,1,0,N03,0,IN
18,547,0,0,F05,0,OUT
19,547,0,0,E06,0,IN
20,555,-1,0,IXX,0,IN
21,555,0,0,E06,0,OUT
22,555,0,0,D07,0,IN
23,590,0,0,D07,0,OUT
24,590,0,0,E08,0,IN
25,599,-1,44,IXX,0,OUT
26,614,1,0,N03,0,OUT
27,614,1,0,F06,0,IN
28,646,2,0,_01,0,IN
29,646,2,0,_01,0,OUT
30,646,2,0,A00,0,IN
31,653,3,0,_01,0,IN
32,653,3,0,_01,0,OUT
33,653,3,0,A00,0,IN
34,672,0,0,E08,0,OUT
35,672,0,0,*01,0,IN
36,699,1,0,F06,0,OUT
37,699,1,0,E07,0,IN
38,702,-1,0,IXX,0,IN
39,704,4,0,_01,0,IN
40,704,4,0,_01,0,OUT
41,704,4,0,A00,0,IN
42,724,3,0,A00,0,OUT
43,724,3,0,F01,0,IN
44,726,5,0,_01,0,IN
45,726,5,0,_01,0,OUT
46,726,5,0,A00,0,IN
47,728,5,0,A00,0,OUT
48,728,5,0,N03,0,IN
49,743,2,0,A00,0,OUT
50,743,2,0,F01,0,IN
51,763,5,0,N03,0,OUT
52,763,5,0,I07,0,IN
53,769,6,0,_01,0,IN
54,769,6,0,_01,0,OUT
55,769,6,0,A00,0,IN
56,776,1,0,E07,0,OUT
57,776,1,0,*01,0,IN
58,776,4,0,A00,0,OUT
59,776,4,0,I04,0,IN
60,788,7,0,_01,0,IN
61,788,7,0,_01,0,OUT
62,788,7,0,A00,0,IN
63,799,8,0,_01,0,IN
64,799,8,0,_01,0,OUT
65,799,8,0,A00,0,IN
66,800,7,0,A00,0,OUT
67,800,7,0,F01,0,IN
68,807,6,0,A00,0,OUT
69,807,6,0,F01,0,IN
70,811,3,0,F01,0,OUT
71,811,3,0,I07,0,IN
72,811,7,0,F01,0,OUT
73,811,7,0,I07,0,IN
74,823,6,0,F01,0,OUT
75,823,6,0,N03,0,IN
76,824,2,0,F01,0,OUT
77,824,2,0,I07,0,IN
78,853,5,0,I07,0,OUT
79,853,5,0,F08,0,IN
80,869,-1,0,IXX,0,IN
81,870,-1,0,IXX,0,IN
82,874,-1,172,IXX,0,OUT
83,874,4,77,I04,0,OUT
84,874,4,0,F05,0,IN
85,876,9,0,_01,0,IN
86,876,9,0,_01,0,OUT
87,876,9,0,A00,0,IN
88,901,9,0,A00,0,OUT
89,901,9,0,F04,0,IN
90,911,7,63,I07,2,OUT
91,911,7,0,F08,0,IN
92,912,6,88,N03,3,OUT
93,912,6,0,I07,0,IN
94,919,10,0,_01,0,IN
95,919,10,0,_01,0,OUT
96,919,10,0,A00,0,IN
97,938,10,0,A00,0,OUT
98,938,10,0,F01,0,IN
99,944,8,0,A00,0,OUT
100,944,8,0,F02,0,IN
101,946,4,0,F05,0,OUT
102,946,4,0,*01,0,IN
103,954,9,0,F04,0,OUT
104,954,9,0,E08,0,IN
105,957,3,63,I07,1,OUT
106,957,3,0,F08,0,IN
107,964,11,0,_01,0,IN
108,964,11,0,_01,0,OUT
109,964,11,0,A00,0,IN
110,974,10,0,F01,0,OUT
111,974,10,0,N03,0,IN
112,988,11,0,A00,0,OUT
113,988,11,0,I04,0,IN
114,998,5,0,F08,0,OUT
115,998,5,0,E09,0,IN
116,998,5,0,E09,0,OUT
117,998,5,0,D15,0,IN
118,1001,7,0,F08,0,OUT
119,1001,7,0,E09,0,IN
120,1003,2,88,I07,4,OUT
121,1003,2,0,F08,0,IN
122,1006,8,0,F02,0,OUT
123,1006,8,0,I04,0,IN
124,1016,-1,147,IXX,0,OUT
125,1038,3,0,F08,0,OUT
126,1038,3,0,E09,0,IN
127,1038,5,0,D15,0,OUT
128,1038,5,0,*01,0,IN
129,1041,9,0,E08,0,OUT
130,1041,9,0,*01,0,IN
131,1060,2,0,F08,0,OUT
132,1060,2,0,E09,0,IN
133,1065,12,0,_01,0,IN
134,1065,12,0,_01,0,OUT
135,1065,12,0,A00,0,IN
136,1066,13,0,_01,0,IN
137,1066,13,0,_01,0,OUT
138,1066,13,0,A00,0,IN
139,1077,-1,207,IXX,0,OUT
140,1077,14,0,_01,0,IN
141,1077,14,0,_01,0,OUT
142,1077,14,0,A00,0,IN
143,1081,3,0,E09,0,OUT
144,1081,3,0,D15,0,IN
145,1095,2,0,E09,0,OUT
146,1095,2,0,D15,0,IN
147,1098,15,0,_01,0,IN
148,1098,15,0,_01,0,OUT
149,1098,15,0,A00,0,IN
150,1106,7,0,E09,0,OUT
151,1106,7,0,D15,0,IN
152,1129,16,0,_01,0,IN
153,1129,16,0,_01,0,OUT
154,1129,16,0,A00,0,IN
155,1146,17,0,_01,0,IN
156,1146,17,0,_01,0,OUT
157,1146,17,0,A00,0,IN
158,1150,16,0,A00,0,OUT
159,1150,16,0,F01,0,IN
160,1151,15,0,A00,0,OUT
161,1151,15,0,F01,0,IN
162,1153,18,0,_01,0,IN
163,1153,18,0,_01,0,OUT
164,1153,18,0,A00,0,IN
165,1155,3,0,D15,0,OUT
166,1155,3,0,*01,0,IN
167,1157,6,104,I07,3,OUT
168,1157,6,0,F08,0,IN
169,1162,18,0,A00,0,OUT
170,1162,18,0,F01,0,IN
171,1171,17,0,A00,0,OUT
172,1171,17,0,F01,0,IN
173,1189,2,0,D15,0,OUT
174,1189,2,0,*01,0,IN
175,1191,11,169,I04,3,OUT
176,1191,11,0,E06,0,IN
177,1195,16,0,F01,0,OUT
178,1195,16,0,E02,0,IN
179,1195,6,0,F08,0,OUT
180,1195,6,0,E09,0,IN
181,1195,17,0,F01,0,OUT
182,1195,17,0,N03,0,IN
183,1196,7,0,D15,0,OUT
184,1196,7,0,*01,0,IN
185,1203,18,0,F01,0,OUT
186,1203,18,0,N02,0,IN
187,1203,8,185,I04,3,OUT
188,1203,8,0,F06,0,IN
189,1209,11,0,E06,0,OUT
190,1209,11,0,*01,0,IN
191,1218,12,0,A00,0,OUT
192,1218,12,0,F02,0,IN
193,1219,13,0,A00,0,OUT
194,1219,13,0,F01,0,IN
195,1228,17,8,N03,0,OUT
196,1228,17,0,I07,0,IN
197,1230,16,0,E02,0,OUT
198,1230,16,0,F05,0,IN
199,1234,14,0,A00,0,OUT
200,1234,14,0,F02,0,IN
201,1236,14,0,F02,0,OUT
202,1236,14,0,I09,0,IN
203,1243,15,0,F01,0,OUT
