,QUEUE_LENGTH,STATE,TIME,ID,PAT_CLASS,QUEUE_TIME,DIRECTION
0,0,_01,26,0,9,0,IN
1,0,_01,26,0,9,0,OUT
2,0,A00,26,0,9,0,IN
3,0,_01,30,1,6,0,IN
4,0,_01,30,1,6,0,OUT
5,0,A00,30,1,6,0,IN
6,0,A00,51,0,9,0,OUT
7,0,F01,51,0,9,0,IN
8,0,F01,63,0,9,0,OUT
9,0,N02,63,0,9,0,IN
10,0,N02,65,0,9,0,OUT
11,0,I04,65,0,9,0,IN
12,0,A00,84,1,6,0,OUT
13,0,F01,84,1,6,0,IN
14,0,_01,114,2,2,0,IN
15,0,_01,114,2,2,0,OUT
16,0,A00,114,2,2,0,IN
17,0,_01,123,3,9,0,IN
18,0,_01,123,3,9,0,OUT
19,0,A00,123,3,9,0,IN
20,0,I04,125,0,9,0,OUT
21,0,F05,125,0,9,0,IN
22,0,A00,166,2,2,0,OUT
23,0,F04,166,2,2,0,IN
24,0,F05,177,0,9,0,OUT
25,0,E06,177,0,9,0,IN
26,0,F01,178,1,6,0,OUT
27,0,N03,178,1,6,0,IN
28,0,_01,185,4,5,0,IN
29,0,_01,185,4,5,0,OUT
30,0,A00,185,4,5,0,IN
31,0,_01,202,5,1,0,IN
32,0,_01,202,5,1,0,OUT
33,0,A00,202,5,1,0,IN
34,0,E06,212,0,9,0,OUT
35,0,D07,212,0,9,0,IN
36,0,_01,219,6,6,0,IN
37,0,_01,219,6,6,0,OUT
38,0,A00,219,6,6,0,IN
39,0,A00,223,4,5,0,OUT
40,0,I07,223,4,5,0,IN
41,0,F04,241,2,2,0,OUT
42,0,E08,241,2,2,0,IN
43,0,_01,252,7,1,0,IN
44,0,_01,252,7,1,0,OUT
45,0,A00,252,7,1,0,IN
46,0,I07,259,4,5,0,OUT
47,0,F08,259,4,5,0,IN
48,0,N03,265,1,6,0,OUT
49,0,I07,265,1,6,0,IN
50,0,D07,275,0,9,0,OUT
51,0,E08,275,0,9,0,IN
52,0,F08,277,4,5,0,OUT
53,0,E09,277,4,5,0,IN
54,0,A00,280,3,9,0,OUT
55,0,F01,280,3,9,0,IN
56,0,A00,285,7,1,0,OUT
57,0,F02,285,7,1,0,IN
58,0,E08,287,0,9,0,OUT
59,0,*01,287,0,9,0,IN
60,0,A00,295,5,1,0,OUT
61,0,F02,295,5,1,0,IN
62,0,F01,304,3,9,0,OUT
