,STATE,QUEUE_TIME,DIRECTION,QUEUE_LENGTH,PAT_CLASS,ID,TIME
0,_,0,IN,0,0,0,37
1,_,0,OUT,0,0,0,37
2,A,0,IN,0,0,0,37
3,_,0,IN,0,0,1,43
4,_,0,OUT,0,0,1,43
5,A,0,IN,0,0,1,43
6,A,0,OUT,0,0,0,65
7,F,0,IN,0,0,0,65
8,A,0,OUT,0,0,1,72
9,F,0,IN,0,0,1,72
10,F,0,OUT,0,0,1,411
11,E,0,IN,0,0,1,411
12,_,0,IN,0,0,2,718
13,_,0,OUT,0,0,2,718
14,A,0,IN,0,0,2,718
15,A,0,OUT,0,0,2,794
16,F,0,IN,0,0,2,794
17,F,0,OUT,0,0,2,908
18,E,0,IN,0,0,2,908
19,_,0,IN,0,0,3,1068
20,_,0,OUT,0,0,3,1068
21,A,0,IN,0,0,3,1068
22,A,0,OUT,0,0,3,1146
23,F,0,IN,0,0,3,1146
24,_,0,IN,0,0,4,1675
25,_,0,OUT,0,0,4,1675
26,A,0,IN,0,0,4,1675
27,F,0,OUT,0,0,3,1766
28,I,0,IN,0,0,3,1766
29,A,0,OUT,0,0,4,1787
30,F,0,IN,0,0,4,1787
31,I,0,OUT,0,0,3,1810
32,F,0,IN,0,0,3,1810
33,F,0,OUT,0,0,4,1847
34,I,0,IN,0,0,4,1847
35,I,0,OUT,0,0,4,1882
36,F,0,IN,0,0,4,1882
37,F,0,OUT,0,0,4,1890
38,N,0,IN,0,0,4,1890
39,N,0,OUT,0,0,4,1900
40,I,0,IN,0,0,4,1900
41,I,0,OUT,0,0,4,1940
42,F,0,IN,0,0,4,1940
43,F,0,OUT,0,0,3,1978
44,D,0,IN,0,0,3,1978
45,F,0,OUT,0,0,4,2043
46,N,0,IN,0,0,4,2043
47,N,0,OUT,0,0,4,2063
48,F,0,IN,0,0,4,2063
49,F,0,OUT,0,0,4,2164
50,E,0,IN,0,0,4,2164
51,_,0,IN,0,0,5,2289
52,_,0,OUT,0,0,5,2289
53,A,0,IN,0,0,5,2289
54,_,0,IN,0,0,6,2473
55,_,0,OUT,0,0,6,2473
56,A,0,IN,0,0,6,2473
57,A,0,OUT,0,0,5,2482
58,F,0,IN,0,0,5,2482
59,A,0,OUT,0,0,6,2553
60,F,0,IN,0,0,6,2553
61,F,0,OUT,0,0,6,2649
62,E,0,IN,0,0,6,2649
63,F,0,OUT,0,0,5,4715
64,E,0,IN,0,0,5,4715
65,_,0,IN,0,0,7,4774
66,_,0,OUT,0,0,7,4774
67,A,0,IN,0,0,7,4774
68,A,0,OUT,0,0,7,4791
69,N,0,IN,0,0,7,4791
70,N,0,OUT,0,0,7,4806
71,F,0,IN,0,0,7,4806
72,_,0,IN,0,0,8,5850
73,_,0,OUT,0,0,8,5850
74,A,0,IN,0,0,8,5850
75,A,0,OUT,0,0,8,5897
76,F,0,IN,0,0,8,5897
77,F,0,OUT,0,0,8,5966
78,E,0,IN,0,0,8,5966
79,F,0,OUT,0,0,7,6090
80,I,0,IN,0,0,7,6090
81,I,0,OUT,0,0,7,6119
82,F,0,IN,0,0,7,6119
83,F,0,OUT,0,0,7,6145
84,E,0,IN,0,0,7,6145
85,_,0,IN,0,0,9,7113
86,_,0,OUT,0,0,9,7113
87,A,0,IN,0,0,9,7113
88,A,0,OUT,0,0,9,7205
89,F,0,IN,0,0,9,7205
90,F,0,OUT,0,0,9,7331
91,I,0,IN,0,0,9,7331
92,I,0,OUT,0,0,9,7370
93,F,0,IN,0,0,9,7370
94,F,0,OUT,0,0,9,7485
95,D,0,IN,0,0,9,7485
96,E,0,OUT,0,0,2,8979
97,F,0,IN,0,0,2,8979
98,_,0,IN,0,0,10,10840
99,_,0,OUT,0,0,10,10840
100,A,0,IN,0,0,10,10840
101,A,0,OUT,0,0,10,10866
102,I,0,IN,0,0,10,10866
103,I,0,OUT,0,0,10,10911
104,F,0,IN,0,0,10,10911
105,_,0,IN,0,0,11,11114
106,_,0,OUT,0,0,11,11114
107,A,0,IN,0,0,11,11114
108,A,0,OUT,0,0,11,11129
109,F,0,IN,0,0,11,11129
110,F,0,OUT,0,0,0,11473
111,E,0,IN,0,0,0,11473
112,E,0,OUT,0,0,0,11488
113,D,0,IN,0,0,0,11488
114,D,0,OUT,0,0,0,12816
115,E,0,IN,0,0,0,12816
116,_,0,IN,0,0,12,14410
