,QUEUE_LENGTH,ID,TIME,STATE,QUEUE_TIME,PAT_CLASS,DIRECTION
0,0,0,3786,_,0,0,IN
1,0,0,3786,_,0,0,OUT
2,0,0,3786,I,0,0,IN
3,0,0,3816,I,0,0,OUT
4,0,0,3816,F,0,0,IN
5,0,1,4439,_,0,0,IN
6,0,1,4439,_,0,0,OUT
7,0,1,4439,F,0,0,IN
8,0,1,4593,F,0,0,OUT
9,0,1,4593,E,0,0,IN
10,0,-1,6639,IXX,0,-1,IN
11,0,-1,6693,IXX,54,-1,OUT
12,0,2,6763,_,0,0,IN
13,0,2,6763,_,0,0,OUT
14,0,2,6763,F,0,0,IN
15,0,2,6927,F,0,0,OUT
16,0,2,6927,E,0,0,IN
17,0,3,7294,_,0,0,IN
18,0,3,7294,_,0,0,OUT
19,0,3,7294,I,0,0,IN
20,0,3,7339,I,0,0,OUT
21,0,3,7339,F,0,0,IN
22,0,4,9080,_,0,0,IN
23,0,4,9080,_,0,0,OUT
24,0,4,9080,F,0,0,IN
25,0,-1,9215,IXX,0,-1,IN
26,0,-1,9260,IXX,45,-1,OUT
27,0,5,9282,_,0,0,IN
28,0,5,9282,_,0,0,OUT
29,0,5,9282,F,0,0,IN
30,0,4,9974,F,0,0,OUT
31,0,4,9974,E,0,0,IN
32,0,5,10279,F,0,0,OUT
33,0,5,10279,E,0,0,IN
34,0,5,10454,E,0,0,OUT
35,0,5,10454,F,0,0,IN
36,0,5,11300,F,0,0,OUT
37,0,5,11300,E,0,0,IN
38,0,6,13961,_,0,0,IN
39,0,6,13961,_,0,0,OUT
40,0,6,13961,F,0,0,IN
41,0,4,14582,E,0,0,OUT
42,0,4,14582,F,0,0,IN
43,0,4,15122,F,0,0,OUT
44,0,4,15122,E,0,0,IN
45,0,-1,15400,IXX,0,-1,IN
46,0,-1,15475,IXX,75,-1,OUT
47,0,4,15525,E,0,0,OUT
48,0,4,15525,F,0,0,IN
49,0,4,15685,F,0,0,OUT
50,0,4,15685,E,0,0,IN
51,0,7,15870,_,0,0,IN
52,0,7,15870,_,0,0,OUT
53,0,7,15870,F,0,0,IN
54,0,8,16189,_,0,0,IN
55,0,8,16189,_,0,0,OUT
56,0,8,16189,F,0,0,IN
57,0,8,16301,F,0,0,OUT
58,0,8,16301,E,0,0,IN
59,0,9,16374,_,0,0,IN
60,0,9,16374,_,0,0,OUT
61,0,9,16374,F,0,0,IN
62,0,6,16621,F,0,0,OUT
63,0,6,16621,E,0,0,IN
64,0,10,16837,_,0,0,IN
65,0,10,16837,_,0,0,OUT
66,0,10,16837,I,0,0,IN
67,0,10,16877,I,0,0,OUT
68,0,10,16877,F,0,0,IN
69,0,10,16908,F,0,0,OUT
70,0,10,16908,I,0,0,IN
71,0,10,16957,I,0,0,OUT
72,0,10,16957,F,0,0,IN
73,0,11,17185,_,0,0,IN
74,0,11,17185,_,0,0,OUT
75,0,11,17185,F,0,0,IN
76,0,10,17188,F,0,0,OUT
77,0,10,17188,I,0,0,IN
78,0,10,17202,I,0,0,OUT
79,0,10,17202,F,0,0,IN
80,0,11,17355,F,0,0,OUT
81,0,11,17355,E,0,0,IN
82,0,-1,18039,IXX,0,-1,IN
83,0,-1,18068,IXX,29,-1,OUT
84,0,10,18916,F,0,0,OUT
85,0,10,18916,I,0,0,IN
86,0,10,18955,I,0,0,OUT
87,0,10,18955,F,0,0,IN
88,0,10,18980,F,0,0,OUT
89,0,10,18980,E,0,0,IN
90,0,0,19872,F,0,0,OUT
91,0,0,19872,E,0,0,IN
92,0,4,20243,E,0,0,OUT
93,0,4,20243,F,0,0,IN
94,0,3,20344,F,0,0,OUT
95,0,3,20344,E,0,0,IN
96,0,-1,21312,IXX,0,-1,IN
97,0,12,21323,_,0,0,IN
98,0,12,21323,_,0,0,OUT
99,0,12,21323,F,0,0,IN
100,0,-1,21341,IXX,29,-1,OUT
101,0,4,21528,F,0,0,OUT
102,0,4,21528,E,0,0,IN
103,0,12,21594,F,0,0,OUT
104,0,12,21594,I,0,0,IN
105,0,12,21623,I,0,0,OUT
106,0,12,21623,F,0,0,IN
107,0,3,21884,E,0,0,OUT
108,0,3,21884,I,0,0,IN
109,0,3,21899,I,0,0,OUT
110,0,3,21899,F,0,0,IN
111,0,12,22963,F,0,0,OUT
112,0,12,22963,I,0,0,IN
113,0,12,22973,I,0,0,OUT
114,0,12,22973,F,0,0,IN
115,0,10,23157,E,0,0,OUT
116,0,10,23157,F,0,0,IN
117,0,10,23208,F,0,0,OUT
118,0,10,23208,I,0,0,IN
119,0,10,23247,I,0,0,OUT
120,0,10,23247,F,0,0,IN
121,0,12,23367,F,0,0,OUT
122,0,12,23367,E,0,0,IN
123,0,-1,23760,IXX,0,-1,IN
124,0,-1,23809,IXX,49,-1,OUT
125,0,13,24156,_,0,0,IN
126,0,13,24156,_,0,0,OUT
127,0,13,24156,F,0,0,IN
128,0,3,24310,F,0,0,OUT
129,0,3,24310,I,0,0,IN
130,0,3,24349,I,0,0,OUT
131,0,3,24349,F,0,0,IN
132,0,13,24365,F,0,0,OUT
133,0,13,24365,E,0,0,IN
134,0,1,24681,E,0,0,OUT
135,0,1,24681,I,0,0,IN
136,0,1,24701,I,0,0,OUT
137,0,1,24701,F,0,0,IN
138,0,14,24879,_,0,0,IN
139,0,14,24879,_,0,0,OUT
140,0,14,24879,F,0,0,IN
141,0,1,25095,F,0,0,OUT
142,0,1,25095,I,0,0,IN
143,0,1,25124,I,0,0,OUT
144,0,1,25124,E,0,0,IN
145,0,-1,25182,IXX,0,-1,IN
146,0,-1,25252,IXX,70,-1,OUT
147,0,15,25326,_,0,0,IN
148,0,15,25326,_,0,0,OUT
149,0,15,25326,F,0,0,IN
150,0,15,25381,F,0,0,OUT
151,0,15,25381,E,0,0,IN
152,0,9,26582,F,0,0,OUT
153,0,9,26582,I,0,0,IN
