,ID,DIRECTION,QUEUE_LENGTH,PAT_CLASS,TIME,QUEUE_TIME,STATE
0,-1,IN,0,-1,983,0,IXX
1,-1,OUT,0,-1,1013,30,IXX
2,0,IN,0,0,2028,0,_
3,0,OUT,0,0,2028,0,_
4,0,IN,0,0,2028,0,F
5,-1,IN,0,-1,2275,0,IXX
6,-1,OUT,0,-1,2335,60,IXX
7,0,OUT,0,0,3263,0,F
8,0,IN,0,0,3263,0,E
9,1,IN,0,0,3548,0,_
10,1,OUT,0,0,3548,0,_
11,1,IN,0,0,3548,0,I
12,1,OUT,0,0,3577,0,I
13,1,IN,0,0,3577,0,F
14,2,IN,0,0,3611,0,_
15,2,OUT,0,0,3611,0,_
16,2,IN,0,0,3611,0,F
17,2,OUT,0,0,3669,0,F
18,2,IN,0,0,3669,0,E
19,1,OUT,0,0,3791,0,F
20,1,IN,0,0,3791,0,E
21,3,IN,0,0,3838,0,_
22,3,OUT,0,0,3838,0,_
23,3,IN,0,0,3838,0,F
24,3,OUT,0,0,3877,0,F
25,3,IN,0,0,3877,0,I
26,3,OUT,0,0,3936,0,I
27,3,IN,0,0,3936,0,F
28,4,IN,0,0,4354,0,_
29,4,OUT,0,0,4354,0,_
30,4,IN,0,0,4354,0,F
31,4,OUT,0,0,4365,0,F
32,4,IN,0,0,4365,0,E
33,3,OUT,0,0,7360,0,F
34,3,IN,0,0,7360,0,I
35,3,OUT,0,0,7430,0,I
36,3,IN,0,0,7430,0,F
37,5,IN,0,0,7588,0,_
38,5,OUT,0,0,7588,0,_
39,5,IN,0,0,7588,0,F
40,6,IN,0,0,7603,0,_
41,6,OUT,0,0,7603,0,_
42,6,IN,0,0,7603,0,F
43,6,OUT,0,0,7660,0,F
44,6,IN,0,0,7660,0,E
45,-1,IN,0,-1,7755,0,IXX
46,-1,OUT,0,-1,7830,75,IXX
47,5,OUT,0,0,8022,0,F
48,5,IN,0,0,8022,0,I
49,5,OUT,0,0,8077,0,I
50,5,IN,0,0,8077,0,F
51,5,OUT,0,0,8160,0,F
52,5,IN,0,0,8160,0,E
53,7,IN,0,0,11120,0,_
54,7,OUT,0,0,11120,0,_
55,7,IN,0,0,11120,0,F
56,8,IN,0,0,11230,0,_
57,8,OUT,0,0,11230,0,_
58,8,IN,0,0,11230,0,F
59,7,OUT,0,0,11237,0,F
60,7,IN,0,0,11237,0,I
61,7,OUT,0,0,11292,0,I
62,7,IN,0,0,11292,0,F
63,8,OUT,0,0,11403,0,F
64,8,IN,0,0,11403,0,I
65,8,OUT,0,0,11433,0,I
66,8,IN,0,0,11433,0,F
67,8,OUT,0,0,11462,0,F
68,8,IN,0,0,11462,0,I
69,8,OUT,0,0,11492,0,I
70,8,IN,0,0,11492,0,F
71,9,IN,0,0,12100,0,_
72,9,OUT,0,0,12100,0,_
73,9,IN,0,0,12100,0,F
74,7,OUT,0,0,12704,0,F
75,7,IN,0,0,12704,0,E
76,10,IN,0,0,12922,0,_
77,10,OUT,0,0,12922,0,_
78,10,IN,0,0,12922,0,F
79,11,IN,0,0,12981,0,_
80,11,OUT,0,0,12981,0,_
81,11,IN,0,0,12981,0,F
82,11,OUT,0,0,13431,0,F
83,11,IN,0,0,13431,0,I
84,11,OUT,0,0,13441,0,I
85,11,IN,0,0,13441,0,F
